A,B,C,D,E,Target
0.4371,0.7283,0.2666,0.5672,0.3355,2.7881
0.9556,0.5825,0.5877,0.5313,0.3223,3.4039
0.7588,0.3786,0.8857,0.1231,0.9156,2.112
0.6388,0.8324,0.759,0.4071,0.3246,2.7177
0.2404,0.7163,0.8259,0.4422,0.3448,1.4597
0.2404,0.2464,0.6929,0.4589,0.7835,1.0102
0.1523,0.9198,0.723,0.6222,0.5048,1.9713
0.8796,0.8403,0.8643,0.5802,0.799,3.6527
0.641,0.9548,0.3247,0.6471,0.1588,3.623
0.7373,0.7531,0.5405,0.7884,0.5388,3.3822
0.1185,0.6521,0.2991,0.8317,0.1303,1.9576
0.9729,0.4764,0.9889,0.7463,0.1564,2.8628
0.8492,0.9395,0.9497,0.96,0.9158,3.9954
0.2911,0.8795,0.1355,0.1164,0.2253,2.3462
0.2636,0.1407,0.735,0.2762,0.5792,0.6247
0.2651,0.1237,0.9327,0.1068,0.47,0.1446
0.3738,0.4388,0.2625,0.6827,0.4126,2.1915
0.5723,0.8295,0.6112,0.9082,0.9099,3.4831
0.4888,0.9885,0.9239,0.3191,0.1196,2.191
0.3621,0.2354,0.1306,0.9343,0.6974,2.2929
0.6507,0.6347,0.7277,0.1542,0.9671,2.487
0.2255,0.4428,0.3676,0.941,0.6042,2.1119
0.3629,0.9729,0.932,0.4165,0.9431,2.4343
0.4297,0.8579,0.974,0.1913,0.147,1.7211
0.5105,0.8545,0.9498,0.5373,0.4769,2.4327
0.8067,0.5218,0.5268,0.3311,0.3341,2.8146
0.2797,0.4733,0.8758,0.3564,0.7577,1.1678
0.5628,0.3461,0.8601,0.3766,0.9832,1.8499
0.6332,0.1507,0.3872,0.8227,0.3309,2.3355
0.1418,0.8783,0.846,0.5852,0.6888,1.8289
0.6468,0.8316,0.1333,0.3802,0.2783,3.4947
0.2535,0.9997,0.6366,0.6493,0.6088,2.5934
0.1585,0.997,0.307,0.7445,0.5175,2.7689
0.954,0.5999,0.2085,0.3454,0.9748,4.0663
0.9691,0.7921,0.1693,0.4722,0.6477,4.3928
0.8276,0.9503,0.7267,0.2097,0.4146,3.2593
0.3742,0.8647,0.4059,0.263,0.2027,2.3347
0.1879,0.3226,0.7523,0.713,0.2361,0.8702
0.7158,0.5055,0.1588,0.2633,0.3028,2.8634
0.4961,0.2162,0.3838,0.5726,0.3259,1.8402
0.2098,0.9586,0.5855,0.7381,0.8656,2.605
0.5457,0.6456,0.8117,0.1962,0.6051,2.0159
0.1309,0.3058,0.3869,0.6106,0.5711,1.1539
0.9184,0.7045,0.6633,0.3309,0.2033,3.1783
0.3329,0.6563,0.8974,0.9666,0.8741,2.2439
0.6963,0.4223,0.6543,0.5352,0.7505,2.5319
0.3805,0.2022,0.3097,0.8254,0.1609,1.8
0.5681,0.7044,0.122,0.5952,0.7371,3.4928
0.592,0.5683,0.8831,0.1391,0.5892,1.7827
0.2664,0.7951,0.1191,0.6698,0.1736,2.6056
0.9726,0.5681,0.8872,0.9563,0.5125,3.468
0.7976,0.867,0.576,0.6415,0.5362,3.6618
0.9455,0.5967,0.9452,0.8373,0.2492,3.2234
0.9053,0.6048,0.8189,0.8958,0.9511,3.6415
0.6381,0.889,0.9981,0.3053,0.865,2.6917
0.9297,0.4631,0.4156,0.2908,0.7021,3.1717
0.1796,0.2206,0.7905,0.6499,0.5161,0.7723
0.2764,0.1259,0.4617,0.4699,0.4706,0.9598
0.1407,0.7796,0.5319,0.8559,0.6859,2.233
0.3928,0.6583,0.6648,0.91,0.5909,2.4975
0.4498,0.7337,0.8863,0.4181,0.156,1.9039
0.3442,0.2917,0.9857,0.3132,0.5613,0.6998
0.8459,0.2227,0.7914,0.8025,0.8258,2.55
0.4211,0.1131,0.476,0.3473,0.5133,1.2635
0.3528,0.4155,0.4792,0.8404,0.1468,1.9747
0.5884,0.6309,0.7638,0.4814,0.8077,2.5891
0.2268,0.453,0.3149,0.7008,0.2812,1.7864
0.822,0.4937,0.1994,0.186,0.3328,3.0135
0.1671,0.9137,0.4192,0.6615,0.2482,2.3193
0.9882,0.4134,0.3585,0.5066,0.3972,3.3903
0.795,0.5626,0.3667,0.6279,0.7811,3.5397
0.2788,0.8053,0.3102,0.2512,0.5674,2.3094
0.105,0.4569,0.1379,0.7632,0.2844,1.8014
0.8339,0.6599,0.1161,0.8765,0.89,4.5051
0.7362,0.8761,0.989,0.2951,0.8916,2.9617
0.7561,0.9546,0.485,0.1861,0.8835,3.6103
0.7941,0.2324,0.4459,0.1213,0.3149,2.1339
0.1666,0.9339,0.7117,0.6778,0.5061,2.0183
0.4226,0.5429,0.2964,0.6464,0.9865,2.7183
0.2043,0.3324,0.955,0.592,0.7948,0.8729
0.8768,0.5132,0.8077,0.3088,0.1245,2.4604
0.661,0.982,0.1805,0.4518,0.1587,3.6971
0.3978,0.5434,0.4758,0.635,0.5175,2.1907
0.1572,0.3959,0.8912,0.5471,0.9183,1.0437
0.3799,0.6701,0.9503,0.989,0.5848,2.198
0.3927,0.3161,0.5207,0.2228,0.548,1.4
0.7566,0.1683,0.6521,0.7256,0.1949,2.1462
0.6738,0.216,0.2503,0.4639,0.6911,2.5437
0.8985,0.2152,0.9921,0.4854,0.8399,2.3412
0.525,0.2367,0.3085,0.7458,0.4424,2.2174
0.2076,0.2249,0.9485,0.7232,0.7981,0.8028
0.7419,0.6768,0.6847,0.9921,0.968,3.6131
0.7847,0.2637,0.647,0.2156,0.2834,1.9285
0.6051,0.4111,0.5614,0.1937,0.571,1.998
0.7939,0.9071,0.3076,0.7519,0.3584,4.0805
0.5444,0.5266,0.2589,0.6205,0.8136,3.0072
0.5705,0.7008,0.2984,0.3467,0.6198,2.9646
0.4848,0.2551,0.2678,0.1715,0.6711,1.8493
0.1229,0.2731,0.8016,0.1771,0.8181,0.4477
0.1971,0.1368,0.4151,0.9048,0.4564,1.2764
0.1283,0.252,0.1521,0.2727,0.9236,1.3186
0.6728,0.3507,0.9722,0.391,0.5797,1.7832
0.3829,0.2593,0.8954,0.304,0.2422,0.7575
0.5577,0.1798,0.935,0.4195,0.7263,1.3076
0.9168,0.2086,0.9954,0.1625,0.8139,1.9042
0.3244,0.5147,0.2565,0.5672,0.3851,2.1258
0.4693,0.2857,0.4566,0.1609,0.8715,1.7913
0.78,0.4278,0.7824,0.8203,0.9155,3.0236
0.3059,0.5531,0.7264,0.3103,0.3492,1.3908
0.1693,0.7214,0.2385,0.586,0.9852,2.5172
0.3608,0.1354,0.8342,0.8921,0.2266,1.0651
0.2451,0.8195,0.302,0.6858,0.2818,2.4934
0.9367,0.6651,0.3014,0.5797,0.2658,3.801
0.8273,0.1736,0.5833,0.3919,0.9046,2.47
0.6701,0.8862,0.6336,0.3997,0.6889,3.2449
0.8843,0.9288,0.6221,0.7025,0.2369,3.947
0.8233,0.155,0.1823,0.9947,0.4963,3.2548
0.2679,0.3492,0.8897,0.6957,0.6538,1.1611
0.9033,0.8256,0.339,0.602,0.1751,3.9668
0.5854,0.7734,0.2166,0.7576,0.8942,3.7548
0.8267,0.2661,0.8999,0.5187,0.8232,2.2721
0.9065,0.2884,0.9601,0.1541,0.5547,1.9345
0.3862,0.4334,0.8759,0.6061,0.9704,1.6977
0.199,0.5361,0.8286,0.9619,0.476,1.5109
0.3051,0.6564,0.6897,0.2578,0.9857,1.8162
0.4844,0.432,0.5958,0.721,0.7011,2.2658
0.8362,0.5163,0.1783,0.2808,0.6712,3.3716
0.8747,0.7727,0.4676,0.5822,0.2494,3.7377
0.1063,0.133,0.4354,0.187,0.8937,0.6141
0.5597,0.3272,0.3338,0.5053,0.4847,2.2998
0.4757,0.742,0.7511,0.7805,0.246,2.4801
0.2999,0.9057,0.5463,0.4128,0.1113,2.0947
0.2079,0.5605,0.1729,0.6984,0.6038,2.3035
0.4039,0.5789,0.2982,0.8159,0.5747,2.7117
0.9486,0.1965,0.7149,0.9345,0.7474,3.1155
